imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt1979319,,"$32,445","$37,687,024",2h 14m,7.4,Keishi Otomo,['https://www.imdb.com/name/nm3311094/'],"Takeru Satoh, Emi Takei, Yû Aoi","['https://www.imdb.com/name/nm2615398/', 'https://www.imdb.com/name/nm3191754/', 'https://www.imdb.com/name/nm1066974/']","Newcomer of Year
Emi Takei

            For 
        Kyô, koi o hajimemasu
            and 
        Ai to makoto"
tt11991748,,,"$21,318,560",2h 17m,7.4,Keishi Otomo,['https://www.imdb.com/name/nm3311094/'],"Takeru Satoh, Kasumi Arimura, Yôsuke Eguchi","['https://www.imdb.com/name/nm2615398/', 'https://www.imdb.com/name/nm4134328/', 'https://www.imdb.com/name/nm0251139/']",
tt3029556,,,"$41,900,000",2h 14m,7.5,Keishi Otomo,['https://www.imdb.com/name/nm3311094/'],"Takeru Satoh, Tatsuya Fujiwara, Emi Takei","['https://www.imdb.com/name/nm2615398/', 'https://www.imdb.com/name/nm0297885/', 'https://www.imdb.com/name/nm3191754/']","Best Actor
Takeru Satoh"
tt11809034,,,"$36,964,978",2h 18m,7.2,Keishi Otomo,['https://www.imdb.com/name/nm3311094/'],"Takeru Satoh, Mackenyu, Emi Takei","['https://www.imdb.com/name/nm2615398/', 'https://www.imdb.com/name/nm5018289/', 'https://www.imdb.com/name/nm3191754/']",
tt3029558,,,"$52,696,176",2h 18m,7.5,Keishi Otomo,['https://www.imdb.com/name/nm3311094/'],"Takeru Satoh, Emi Takei, Tatsuya Fujiwara","['https://www.imdb.com/name/nm2615398/', 'https://www.imdb.com/name/nm3191754/', 'https://www.imdb.com/name/nm0297885/']","Audience Award
Keishi Otomo
(director)"
tt0113568,"¥330,000,000 (estimated)","$889,074","$918,738",1h 23m,7.9,Mamoru Oshii,['https://www.imdb.com/name/nm0651900/'],"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka","['https://www.imdb.com/name/nm0848968/', 'https://www.imdb.com/name/nm0443509/', 'https://www.imdb.com/name/nm0960033/']","Best Animated Feature, Best Individual Achievement: Directing
Mamoru Oshii, Best Individual Achievement: Production Design
Takashi Watabe

Hiromasa Ogura, Best Individual Achievement: Writing
Kazunori Itô, Best Individual Achievement: Producing
Mitsuhisa Ishikawa

Ken Iyadomi

Ken Matsumoto

Yoshimasa Mizuo

Shigeru Watanabe"
tt0347246,"¥2,000,000,000 (estimated)","$1,043,896","$9,789,651",1h 40m,7.4,Mamoru Oshii,['https://www.imdb.com/name/nm0651900/'],"Akio Ôtsuka, Atsuko Tanaka, Tamio Ôki","['https://www.imdb.com/name/nm0960033/', 'https://www.imdb.com/name/nm0848968/', 'https://www.imdb.com/name/nm0645634/']","Best Animated Feature, Animated Effects
Hisashi Ezura, Directing in an Animated Feature Production
Mamoru Oshii, Music in an Animated Feature Production
Kenji Kawai"
,,,,,,,,,,
tt0422354,,,,30m,6.8,Masayuki Akehi,['https://www.imdb.com/name/nm0015168/'],"Akira Kamiya, Yumi Nakatani, Toku Nishio","['https://www.imdb.com/name/nm0436776/', 'https://www.imdb.com/name/nm0620398/', 'https://www.imdb.com/name/nm0632793/']",
tt0384819,,"$41,803","$6,710,522",2h 8m,6.8,Ryûhei Kitamura,['https://www.imdb.com/name/nm0457565/'],"Aya Ueto, Kenji Kohashi, Hiroki Narimiya","['https://www.imdb.com/name/nm1475754/', 'https://www.imdb.com/name/nm0463188/', 'https://www.imdb.com/name/nm1224532/']","Aya Ueto, Joe Odagiri, Most Popular Performer
Aya Ueto, Best Actress
Aya Ueto"
tt0431641,,,"$2,888,549",1h 48m,6.2,Shûsuke Kaneko,['https://www.imdb.com/name/nm0437526/'],"Aya Ueto, Yûma Ishigaki, Chiaki Kuriyama","['https://www.imdb.com/name/nm1475754/', 'https://www.imdb.com/name/nm0410951/', 'https://www.imdb.com/name/nm0475752/']",
tt1417032,,,"$37,840,539",2h 5m,6.1,Hiroshi Nishitani,['https://www.imdb.com/name/nm0632808/'],"Yûji Oda, Yûki Amami, Erika Toda","['https://www.imdb.com/name/nm0643880/', 'https://www.imdb.com/name/nm0023858/', 'https://www.imdb.com/name/nm2065859/']","Best East Meets West Cinema
Hiroshi Nishitani"
tt1798635,,,"$22,929,221",2h 5m,6.1,Hiroshi Nishitani,['https://www.imdb.com/name/nm0632808/'],"Yûji Oda, Meisa Kuroki, Hideaki Itô","['https://www.imdb.com/name/nm0643880/', 'https://www.imdb.com/name/nm1800338/', 'https://www.imdb.com/name/nm0411692/']",
tt0304237,,,,1h 35m,6.3,Takashi Miike,['https://www.imdb.com/name/nm0586281/'],"Naoko Amihama, Saburô Kitajima, Shin'ichirô Mikami","['https://www.imdb.com/name/nm0024891/', 'https://www.imdb.com/name/nm1122647/', 'https://www.imdb.com/name/nm0586352/']",
tt0304238,,,,1h 38m,4.8,Takashi Miike,['https://www.imdb.com/name/nm0586281/'],"Hirotarô Honda, Hiroko Sakuramachi, Takashi Shikauchi","['https://www.imdb.com/name/nm0393093/', 'https://www.imdb.com/name/nm0757335/', 'https://www.imdb.com/name/nm0998009/']",
tt3331846,"$35,000,000 (estimated)",,"$183,442,714",1h 35m,7.3,"Tony Oliver, Ryuichi Yagi, Takashi Yamazaki","['https://www.imdb.com/name/nm0031407/', 'https://www.imdb.com/name/nm2395339/', 'https://www.imdb.com/name/nm0945724/']","Wasabi Mizuta, Megumi Ohara, Satoshi Tsumabuki","['https://www.imdb.com/name/nm1778686/', 'https://www.imdb.com/name/nm1874163/', 'https://www.imdb.com/name/nm1070494/']",Best Animation Film
