imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt11116616,,,,2019,8.7,Jeff Waldridge,['https://www.imdb.com/name/nm6673744/'],"Reed Bentley, Kevin 'Pondo' Canady, Jeff Cannonball","['https://www.imdb.com/name/nm10435609/', 'https://www.imdb.com/name/nm1548415/', 'https://www.imdb.com/name/nm10355501/']",
tt19845966,,,,33m,,Michaël Blin,['https://www.imdb.com/name/nm13591649/'],"Anton Bialas, Tilio Christen, Dino Peraldi","['https://www.imdb.com/name/nm4748014/', 'https://www.imdb.com/name/nm13607671/', 'https://www.imdb.com/name/nm13607673/']",
tt0087331,,,,PG,7.0,Tristram Powell,['https://www.imdb.com/name/nm0694341/'],"Mark Linn-Baker, Claire Bloom, Sam Wanamaker","['https://www.imdb.com/name/nm0513021/', 'https://www.imdb.com/name/nm0001954/', 'https://www.imdb.com/name/nm0910737/']",
tt19178742,,,,2022,9.2,Eric Notarnicola,['https://www.imdb.com/name/nm3774181/'],"Carlos Barbouth, Todd Carroll, Tim Heidecker","['https://www.imdb.com/name/nm10397503/', 'https://www.imdb.com/name/nm2787844/', 'https://www.imdb.com/name/nm1727367/']",
tt18933660,,,,15m,,Anna Korzh,['https://www.imdb.com/name/nm8522869/'],Anna Korzh,['https://www.imdb.com/name/nm8522869/'],
tt11893814,,,,17m,,R. Robles Rafatal,['https://www.imdb.com/name/nm1897587/'],"Laura Baena, Antonio Cortés, Fele Martínez","['https://www.imdb.com/name/nm1890969/', 'https://www.imdb.com/name/nm3530151/', 'https://www.imdb.com/name/nm0555093/']",
tt14366518,,,,1h 1m,,Marco Speroni,['https://www.imdb.com/name/nm0003727/'],Curtis McCarty,['https://www.imdb.com/name/nm12453274/'],"Best International Documentary
Marco Speroni"
tt0348731,,,,2000,6.1,"Cate Blanchett, Matt Damon, Philip Seymour Hoffman","['https://www.imdb.com/name/nm0000949/', 'https://www.imdb.com/name/nm0000354/', 'https://www.imdb.com/name/nm0000450/']","Cate Blanchett, Matt Damon, Philip Seymour Hoffman","['https://www.imdb.com/name/nm0000949/', 'https://www.imdb.com/name/nm0000354/', 'https://www.imdb.com/name/nm0000450/']",
tt18246312,"$350,000 (estimated)",,,1h 25m,6.2,Gizem Kizil,['https://www.imdb.com/name/nm10271410/'],"Mehmet Yilmaz Ak, Giray Altinok, Ersin Arici","['https://www.imdb.com/name/nm6131602/', 'https://www.imdb.com/name/nm6812436/', 'https://www.imdb.com/name/nm8596133/']",
tt0426150,,,,1h 13m,8.4,"Steen Birger Jørgensen, Al Dvorin, Anders Blichfeldt","['https://www.imdb.com/name/nm0433749/', 'https://www.imdb.com/name/nm0245338/', 'https://www.imdb.com/name/nm1502209/']","Steen Birger Jørgensen, Al Dvorin, Anders Blichfeldt","['https://www.imdb.com/name/nm0433749/', 'https://www.imdb.com/name/nm0245338/', 'https://www.imdb.com/name/nm1502209/']",
